ID,SyntacticCategory,FeatureName,OriginalName,FeatureValues,OriginalValues,ColumnWidth,FeatureExamples,OriginalExamples,NumberOfOriginalValues,HideFeature
25,2,"Target Mood","Target Mood","Indicative/I|Definite Potential/a|Probable Potential/b|'might' Potential/c|'might not' Potential/j|Unlikely Potential/d|Impossible Potential/e|'must' Obligation/f|'should' Obligation/g|'should not' Obligation/h|Forbidden Obligation/i|'may' (permissive)/l|Unspecified/.|","Indicative/I|Definite Potential/a|Probable Potential/b|'might' Potential/c|'might not' Potential/j|Unlikely Potential/d|Impossible Potential/e|'must' Obligation/f|'should' Obligation/g|'should not' Obligation/h|Forbidden Obligation/i|'may' (permissive)/l|Unspecified/.|",130,,,"12",0
32,2,"Spare 7","Spare 7","Unspecified/.|","Unspecified/.|",0,,,"0",1
69,101,"Thing-Thing Relationship","Thing-Thing Relationship","Unspecified/.|Not Applicable/N|","Unspecified/.|Not Applicable/N|",178,,,"0",0
77,101,"Spare 7","Spare 7","Unspecified/.|","Unspecified/.|",0,,,"0",1
78,101,"Spare 8","Spare 8","Unspecified/.|","Unspecified/.|",0,,,"0",1
86,103,"Usage","Usage","Attributive/A|Predicative/P|","Attributive/A|Predicative/P|",80,"||John read <BLD>one of<> your books.  (precedes articles, possessors, etc.)|",,"2",0
117,105,"Spare 4","Spare 4","Unspecified/.|","Unspecified/.|",0,,,"0",1
119,105,"Spare 6","Spare 6","Unspecified/.|","Unspecified/.|",0,,,"0",1
120,105,"Spare 7","Spare 7","Unspecified/.|","Unspecified/.|",0,,,"0",1
118,105,"Spare 5","Spare 5","Unspecified/.|","Unspecified/.|",0,,,"0",1
23,2,"Target Tense & Form","Target Tense & Form","Unspecified/.|","Unspecified/.|",130,,,"1",0
22,2,"Adjective Degree","Adjective Degree","No Degree/N|Comparative/C|Superlative/S|Intensified/I|Extremely Intensified/E|'too'/T|'less'/L|'least'/l|","No Degree/N|Comparative/C|Superlative/S|Intensified/I|Extremely Intensified/E|'too'/T|'less'/L|'least'/l|",110,"the <BLD>big<> dog|the <BLD>bigger<> dog|the <BLD>biggest<> dog|the <BLD>very<> big dog|the <BLD>extremely<> big dog|That dog is <BLD>too<> big.|That book is <BLD>less important<> than this book.|That book is the <BLD>least important<> book.|","the <BLD>big<> dog|the <BLD>bigger<> dog|the <BLD>biggest<> dog|the <BLD>very<> big dog|the <BLD>extremely<> big dog|That dog is <BLD>too<> big.|That book is <BLD>less important<> than this book.|That book is the <BLD>least important<> book.|","8",0
34,3,"Degree","Degree","No Degree/N|Comparative/C|Superlative/S|Intensified/I|Extremely Intensified/E|'too'/T|'less'/L|'least'/l|Equality/q|Intensified Comparative/i|Superlative of 2 items/s|","No Degree/N|Comparative/C|Superlative/S|Intensified/I|Extremely Intensified/E|'too'/T|'less'/L|'least'/l|Equality/q|Intensified Comparative/i|Superlative of 2 items/s|",184,"the <BLD>big<> dog|the <BLD>bigger<> dog|the <BLD>biggest<> dog|the <BLD>very<> big dog|the <BLD>extremely<> big dog|That dog is <BLD>too<> big.|That book is <BLD>less<> important than this book.|That book is the <BLD>least<> important book.|That book is <BLD>as good as<> this book.|That dog is <BLD>much<> bigger than this dog.|the <BLD>older,oldest<> boy|","the <BLD>big<> dog|the <BLD>bigger<> dog|the <BLD>biggest<> dog|the <BLD>very<> big dog|the <BLD>extremely<> big dog|That dog is <BLD>too<> big.|That book is <BLD>less<> important than this book.|That book is the <BLD>least<> important book.|That book is <BLD>as good as<> this book.|That dog is <BLD>much<> bigger than this dog.|the <BLD>older,oldest<> boy|","11",0
114,105,"Vocabulary Alternate","Vocabulary Alternate","Not Applicable/N|Single Sentence - Complex Vocabulary Alternate/V|First Sentence - Complex Vocabulary Alternate/F|Last Sentence - Complex Vocabulary Alternate/L|Coordinate Sentence - Complex Vocabulary Alternate/C|Single Sentence - Simple Vocabulary Alternate/s|First Sentence - Simple Vocabulary Alternate/f|Last Sentence - Simple Vocabulary Alternate/l|Coordinate Sentence - Simple Vocabulary Alternate/c|","Not Applicable/N|Single Sentence - Complex Vocabulary Alternate/V|First Sentence - Complex Vocabulary Alternate/F|Last Sentence - Complex Vocabulary Alternate/L|Coordinate Sentence - Complex Vocabulary Alternate/C|Single Sentence - Simple Vocabulary Alternate/s|First Sentence - Simple Vocabulary Alternate/f|Last Sentence - Simple Vocabulary Alternate/l|Coordinate Sentence - Simple Vocabulary Alternate/c|",274,"||||||||||",,"9",0
7,1,"Surface Realization","Surface Realization","Noun/N|Always a Noun/A|PRO/p|Personal Pronoun/P|","Noun/N|Always a Noun/A|PRO/p|Personal Pronoun/P|",120,"||Syntactically active but phonetically null.|","||Syntactically active but phonetically null.|","4",0
71,101,"Spare 1","Spare 1","Unspecified/.|","Unspecified/.|",0,,,"0",1
103,105,"Speaker`s Attitude","Speaker`s Attitude","Not Applicable/N|Neutral/n|Familiar/F|Endearing/E|Polite/P|Honorable/H|Friendly/f|Complimentary/C|Derogatory/D|Antagonistic-Hostile/A|Anger/a|Rebuke/R|Imploring/I|","Not Applicable/N|Neutral/n|Familiar/F|Endearing/E|Polite/P|Honorable/H|Friendly/f|Complimentary/C|Derogatory/D|Antagonistic-Hostile/A|Anger/a|Rebuke/R|Imploring/I|",100,"|||||||||||||||",,"13",1
115,105,"Rhetorical Question","Rhetorical Question","Not Applicable/N|Content Question/Q|Yes-No Question Expects 'Yes'/Y|Yes-No Question Expects 'No'/n|Equivalent Statement/S|","Not Applicable/N|Content Question/Q|Yes-No Question Expects 'Yes'/Y|Yes-No Question Expects 'No'/n|Equivalent Statement/S|",170,"|||||",,"5",0
6,1,"Person","Person","First/1|Second/2|Third/3|First Inclusive/A|First Exclusive/B|First as Third/F|Second as Third/S|First Inclusive as Third/I|First Exclusive as Third/E|","First/1|Second/2|Third/3|First Inclusive/A|First Exclusive/B|First as Third/F|Second as Third/S|First Inclusive as Third/I|First Exclusive as Third/E|",120,"|||||This is used when a person refers to himself in the third person (e.g., You will see the Son of Man coming ...)|This is used when a person refers to the listener in the third person (e.g., Does my Lord have a message for me?)||Joshua 9:9 ""We, your servants, have come ...""|","|||||This is used when a person refers to himself in the third person (e.g., You will see the Son of Man coming ...)|This is used when a person refers to the listener in the third person (e.g., Does my Lord have a message for me?)|Joshua 9:9 'We, your servants, have come ...'||","12",0
51,6,"Implicit","Implicit","No/.|Yes/Y|","No/.|Yes/Y|",100,"||",,"2",0
80,102,"Implicit","Implicit","No/.|Yes/Y|","No/.|Yes/Y|",100,"||",,"2",0
113,105,"Alternative Analysis","Alternative Analysis","Not Applicable/N|Primary Analysis/P|First Alternative Analysis/A|Second Alternative Analysis/B|Third Alternative Analysis/C|Fourth Alternative Analysis/D|Fifth Alternative Analysis/E|Literal Alternate/L|Dynamic Alternate/d|Biblical Units/b|Contemporary Units/c|","Not Applicable/N|Primary Analysis/P|First Alternative Analysis/A|Second Alternative Analysis/B|Third Alternative Analysis/C|Fourth Alternative Analysis/D|Fifth Alternative Analysis/E|Literal Alternate/L|Dynamic Alternate/d|Biblical Units/b|Contemporary Units/c|",150,"|||||||||||",,"10",0
102,105,"Listener","Listener","Not Applicable/0|Adult Daughter/A|Adult Son/B|Angel/C|Animal/D|Boy/E|Brother/k|Crowd/F|Daughter/g|Demon/G|Disciple/H|Employee/I|Employer/J|Father/K|Girl/L|God/M|Government Leader/N|Government Official/O|Group of Friends/j|Holy Spirit/P|Husband/Q|Jesus/R|King/S|Man/T|Military Leader/U|Mother/V|Prophet/W|Queen/X|Religious Leader/Y|Satan/Z|Servant/f|Sister/l|Slave/a|Slave Owner/b|Soldier/c|Son/h|Wife/d|Woman/e|Nature (wind, waves)/m|","Not Applicable/0|Adult Daughter/A|Adult Son/B|Angel/C|Animal/D|Boy/E|Brother/k|Crowd/F|Daughter/g|Demon/G|Disciple/H|Employee/I|Employer/J|Father/K|Girl/L|God/M|Government Leader/N|Government Official/O|Group of Friends/j|Holy Spirit/P|Husband/Q|Jesus/R|King/S|Man/T|Military Leader/U|Mother/V|Prophet/W|Queen/X|Religious Leader/Y|Satan/Z|Servant/f|Sister/l|Slave/a|Slave Owner/b|Soldier/c|Son/h|Wife/d|Woman/e|Nature (wind, waves)/m|",158,"||||||||||||||||||||||||||||||||",,"62",1
93,104,"Implicit","Implicit","No/.|Yes/Y|","No/.|Yes/Y|",100,,,"2",0
8,1,"Participant Status","Participant Status","Not Applicable/N|Protagonist/P|Antagonist/A|Major Participant/M|Minor Participant/m|Major Prop/p|Minor Prop/r|Significant Location/L|Insignificant Location/l|Significant Time/T|Emphasized/E|","Not Applicable/N|Protagonist/P|Antagonist/A|Major Participant/M|Minor Participant/m|Major Prop/p|Minor Prop/r|Significant Location/L|Insignificant Location/l|Significant Time/T|Emphasized/E|",116,"|||||||||||",,"11",0
87,103,"Implicit","Implicit","No/.|Yes/Y|","No/.|Yes/Y|",100,,,"2",0
